Country,Region,Social distancing type,Date,Explanation
Lithuania,,Lockdown,March 16 2020,The government has announced a quarantine of 15 days for the entire country which could be extended depending on the circumstances. “There is no other option” said Prime Minister Saulius Skvernelis 
Malaysia,,Lockdown,March 18 2020,
Mexico,,Limited action,,"-Schools closed
-Gatherings of 100+ banned"
Mauritius,,Lockdown,March 20 2020,
Morocco,,Lockdown,March 19 2020,"-limiting the movement of citizens by requiring that any movement of his home is only allowed by obtaining a document of official mobility issued by the agents of authority according to the cases identified as follows 
-rest of the citizens, they will only be able to leave their homes to obtain basic necessities"
Netherlands,,Social distancing,March 16 2020,"-schools closed
-restaurants closed
-gatherings banned"
Nepal,,Lockdown,March 24 2020,-enforced by penalties
New Zealand,,Lockdown,March 26 2020,
Norway,,Social distancing,March 12 2020,"all schools, kindergartens and universities are to close
- cultural and sports events are banned
- all restaurants, bars and pubs are closed with the exception of those that can keep patrons at least one meter apart
- supermarkets and pharmacies will remain open
-Gatherings of 5+ banned"
Pakistan,,Lockdown,March 23 2020,-army deployed to enforce
Palestine,,Lockdown,March 22 2020,
Panama,,Lockdown,March 25 2020,
Peru,,Lockdown,March 15 2020,-military enforced
Philippines,50%+ of population,Lockdown,,
Poland,,Lockdown,March 13 2020,"- only grocery stores, pharmacies, laundromats and banks will remain open
- restaurants, pubs and clubs will be closed except those offering delivery or take-out food"
Portugal,,Lockdown,March 19 2020,Nonessential businesses closed.  Restaurant take-out permitted.
Qatar,,Lockdown,March 17 2020,"-80% government workers ordered to work from home, closure of all shops and bank branches, except food and pharmacy https://www.aljazeera.com/news/2020/03/coronavirus-cases-qatar-related-migrant-workers-200318191539620.html
-All schools and universities (https://www.aljazeera.com/news/2020/03/qatar-bans-travellers-14-countries-coronavirus-concerns-200309060851684.html)
"
Romania,,Lockdown,,
Samoa,,Lockdown,March 26 2020,"-Fines for violators
-Fishing boats not allowed to dock"
Slovakia,,Lockdown,March 15 2020,"All retail stores except food, drugstores, pharmacies, newspapers, post offices, banks, gas stations, and pet food stores will be closed for 14 days. Only necessary surgery will be performed in hospitals. Restaurants will only deliver"
South Africa,,Lockdown,March 26 2020,-Enforced by police and army
Spain,,Lockdown,March 14 2020,"Spain imposes a complete lockdown. Citizens, except emergency personnel, will be able to leave their home only to buy food and drugs"
Sweden,,Limited action,,"-schools not closed
-no businesses closed
-handwashing and distancing encouraged
-50+ people gatherings banned"
Switzerland,,Lockdown,March 18 2020,
Tunisia,,Lockdown,March 22 2020,-Enforced by army
Turkey,,Social distancing,March 16 2020,"-Schools closed
-Prayer meetings closed
-Some other things closed"
Ukraine,,~Lockdown,March 17 2020,"-Non-essential business closed
-Public transportation restricted
-Gatherings of 10+ banned"
United Kingdom,,Lockdown,March 23 2020,-Enforced by police
United States,,Urged lockdown,March 16 2020,"Trump releases new guidelines for the next 15 days to slow coronavirus spread:
- Americans are urged to stay home and work from home if possible
- people should avoid non-essential contacts with others and non-essential travel 
- everyone should avoid eating in restaurants and bars
- no social gatherings with more than 10 people
- Governors are urged to close schools in states with 'evidence of community transmission'
- the guidelines will be reviewed in 15 days "
United States,Many States,Restaurant/bar shutdown,various,Linked article shows list
United States,Most States,School Closures,various,Linked page shows live-updated map
United States,California,Lockdown,Mar 19,
United States,Colorado,Restaurant/bar shutdown,Mar 17,all bars and restaurants to close to dine-in customers
United States,Illinois,Restaurant/bar shutdown,March 15 2020,all bars and restaurants to close to dine-in customers
United States,Illinois,Lockdown,March 21 2020,All non-essential businesses closed.
United States,"NY,NJ,CT",Restaurant/bar shutdown,March 16 2020,all bars and restaurants to close to dine-in customers
United States,New York,Lockdown,March 22 2020,
United States,Ohio,Restaurant/bar shutdown,March 15 2020,all bars and restaurants will close
United States,SF Bay Area,Lockdown,March 17 2020,
United States,Washington State,,March 16 2020,
Venezuela,,7 states in lockdown,March 15 2020,
Venezuela,,Lockdown,March 17 2020,"-The national government will implement mandatory social quarantine starting tomorrow March 16 in 7 states of the country: Caracas, La Guaira, Miranda, Zulia, Apure, Cojedes and Táchira [source] [source]
-The ruler explained that quarantine consists of staying in their homes . You can only go out to buy medicine and food. In addition to classes, work activities will be suspended, except for social service activities and pressing needs, that is, food, security, medicine and transportation . Those who go out to buy food or medicine must use the mask or face mask."
